Application Number,Decision,0,1
72463142,Refused,,
72472222,Refused,,
72472762,Refused,,
72473162,Refused,,
72529982,Approved,,
72530282,Approved,,
72870462,Refused,,
72897672,Refused,,
72945572,Approved,,
72946542,Approved,,
73059032,Approved,,
73059602,Approved,,
73073122,Refused,,
73079072,Approved,,
73086212,Approved,,
73088942,Refused,,
73111882,Refused,,
73201072,Approved,,
73247572,Approved,,
73264512,Refused,,
73284862,Approved,,
73382892,Approved,,
73391062,Approved,,
73392062,Approved,,
73404422,Refused,,
73404902,Refused,,
73410412,Refused,,
73419282,Approved,,
73423132,Approved,,
73437542,Refused,,
73438852,Approved,,
73440032,Approved,,
73489872,Refused,,
73495182,Approved,,
73496842,Approved,,
,,73517202,Refused
,,73543252,Approved
,,73614902,Approved
,,73615882,Approved
,,73635942,Approved
,,73636832,Approved
,,73670112,Approved
,,73688182,Approved
,,73690902,Approved
,,73691712,Approved
,,73693772,Approved
,,73694162,Approved
,,73694552,Approved
,,73694652,Approved
,,73694972,Approved
,,73695522,Approved
,,73698252,Approved
,,73700122,Approved
,,73715592,Approved
,,73716112,Approved
,,73723472,Approved
,,73732122,Approved
,,73736292,Approved
,,73738782,Approved
,,73738822,Approved
,,73750952,Approved
,,73751152,Approved
,,73755902,Refused
,,73761462,Approved
,,73768562,Approved
,,73769962,Approved
,,73770672,Approved
,,73795502,Approved
,,73796902,Approved
,,73802832,Approved
,,73818872,Approved
,,73825202,Approved
,,73826542,Approved
,,73832342,Approved
,,73832402,Approved
,,73832462,Approved
,,73833842,Approved
,,73835192,Approved
,,73844702,Refused
,,73844872,Refused
,,73856622,Approved
,,73884052,Approved
,,73899552,Approved
,,73903552,Approved
,,73903572,Approved
,,73930042,Approved
,,73949212,Approved
,,73965612,Approved
,,73973392,Approved
,,73994172,Approved
,,74025922,Approved
,,74044262,Approved
,,74056732,Approved
,,74069702,Approved
,,74103132,Approved
,,74103962,Approved
,,74137832,Approved
,,74138752,Approved
,,74151582,Approved
,,74173712,Approved
,,74185232,Approved
,,74187172,Approved
,,74208052,Approved
,,74209022,Approved
,,74213512,Approved
,,74235642,Approved
,,74264482,Approved
,,74283132,Approved
,,74285892,Approved
,,74340032,Approved
,,74343032,Approved
,,74350602,Approved
,,74354842,Approved
,,74355042,Approved
,,74390252,Approved
,,74390632,Approved
,,74422522,Approved
,,74433182,Approved
,,74433782,Approved
,,74533762,Approved
,,74539962,Approved
,,74554032,Refused
,,74560432,Approved
,,74560772,Approved
,,74603672,Approved
,,74657562,Approved
,,74713062,Approved
,,74747242,Refused
,,74767412,Approved
,,74774792,Approved
,,74779282,Approved
,,74783592,Approved
,,74797232,Refused
,,74812372,Approved
,,74816382,Approved
,,74915592,Approved
,,74932172,Refused
,,75006052,Approved
,,75102142,Approved
,,75119272,Approved
,,75210412,Approved
,,75316992,Approved
,,75389112,Approved
,,75395592,Approved
,,75417292,Approved
,,75419242,Approved
,,75435452,Approved
,,75459422,Approved
,,75484272,Approved
,,75513112,Approved
,,75530222,Approved
,,75531372,Refused
,,75544582,Approved
,,75552032,Approved
,,75578332,Approved
,,75870252,Approved
